,FirstInstanceStartLocation,FirstInstanceEndLocation,SecondInstanceStartLocation,SecondInstanceEndLocation,Length,Distance
tmp.log:11:Motif:,123563,124173,133951,134576,610,17.74052018
tmp.log:12:Motif:,182904,183797,228438,229344,893,14.70962099
tmp.log:13:Motif:,177642,178265,221903,222533,623,18.18043345
tmp.log:14:Motif:,122025,123273,133536,134796,1248,19.33405993
tmp.log:15:Motif:,189533,191329,225532,227301,1769,39.7172634
tmp.log:16:Motif:,135776,136235,142856,143313,457,8.659160607
tmp.log:17:Motif:,229068,230633,232830,234387,1557,30.71743686
tmp.log:18:Motif:,35981,37084,94810,95880,1070,39.67821042
tmp.log:19:Motif:,151453,151969,160112,160628,516,5.256217401
tmp.log:20:Motif:,171033,171978,181804,182738,934,14.48955323
tmp.log:21:Motif:,66035,66558,145714,146237,523,13.25937052
tmp.log:22:Motif:,162095,163192,210423,211533,1097,20.13129694
tmp.log:23:Motif:,175993,176385,192985,193378,392,6.015123518
tmp.log:24:Motif:,169420,169866,171151,171600,446,3.327128875
tmp.log:25:Motif:,58774,59664,238307,239218,890,26.82431706
tmp.log:26:Motif:,80523,81109,123483,124068,585,10.71879733
tmp.log:27:Motif:,151005,151384,216790,217165,375,11.90973642
tmp.log:28:Motif:,51541,51895,168251,168585,334,10.50850628
tmp.log:29:Motif:,42619,43322,72067,72766,699,6.018786076
tmp.log:30:Motif:,218093,219888,227376,229141,1765,44.63718025
tmp.log:31:Motif:,171221,171637,233222,233639,416,4.242409101
tmp.log:32:Motif:,167657,168174,180690,181209,517,7.807444741
tmp.log:33:Motif:,201704,202178,208850,209319,469,8.958879406
tmp.log:34:Motif:,152401,152743,223184,223529,342,4.525417139
tmp.log:35:Motif:,159795,160531,231903,232647,736,13.32710851
tmp.log:36:Motif:,75587,75942,138428,138784,355,9.103278042
tmp.log:37:Motif:,181905,182391,183562,184049,486,3.303842325
tmp.log:38:Motif:,154728,155441,216336,217038,702,8.966376785
tmp.log:39:Motif:,188723,189207,194241,194722,481,6.185264455
tmp.log:40:Motif:,171428,172075,182196,182838,642,9.651854369
tmp.log:41:Motif:,192924,193743,217728,218566,819,17.78479729
tmp.log:42:Motif:,122706,123825,133058,134163,1105,22.52807566
tmp.log:43:Motif:,203623,205644,221855,223859,2004,61.48919238
tmp.log:44:Motif:,167702,168304,214265,214877,602,6.130567354
tmp.log:45:Motif:,23968,24610,55461,56100,639,12.12243489
tmp.log:46:Motif:,188056,188538,188976,189457,481,7.766182456
tmp.log:47:Motif:,181168,182328,227073,228224,1151,37.78725913
tmp.log:48:Motif:,181221,182144,214757,215688,923,16.43510432
tmp.log:49:Motif:,117420,118022,186507,187084,577,16.81771418
tmp.log:50:Motif:,181024,182270,204423,205650,1227,29.42662565
tmp.log:51:Motif:,205236,206067,209373,210158,785,18.55468475
tmp.log:52:Motif:,14121,14480,145763,146123,359,10.9888334
tmp.log:53:Motif:,168856,169165,178486,178795,309,3.98360928
tmp.log:54:Motif:,176656,177256,194291,194919,600,11.60321608
tmp.log:55:Motif:,160263,160881,225328,225950,618,5.474358247
tmp.log:56:Motif:,166535,167599,215116,216204,1064,22.97327878
tmp.log:57:Motif:,232456,233968,234376,235883,1507,36.5463292
tmp.log:58:Motif:,214517,215522,216653,217685,1005,17.99668401
tmp.log:59:Motif:,118066,118750,135911,136610,684,10.78401559
tmp.log:60:Motif:,160765,161076,186222,186544,311,5.695792018
tmp.log:61:Motif:,60325,60848,151181,151698,517,12.80979981
tmp.log:62:Motif:,165585,165943,170413,170747,334,15.32258732
tmp.log:63:Motif:,79881,81145,119895,121171,1264,26.10793673
tmp.log:64:Motif:,152464,153016,208887,209442,552,11.19805286
tmp.log:65:Motif:,50392,50721,222809,223132,323,0.731232499
tmp.log:66:Motif:,121208,121586,135690,136070,378,6.682993362
tmp.log:67:Motif:,170483,171544,201581,202672,1061,33.56493007
tmp.log:68:Motif:,72309,73042,147901,148633,732,20.68921697
tmp.log:69:Motif:,59279,59928,186642,187316,649,14.44555828
tmp.log:70:Motif:,159691,160914,224761,225983,1222,19.42598455
tmp.log:71:Motif:,162942,163828,182012,182900,886,12.15102918
tmp.log:72:Motif:,163287,164243,192829,193798,956,19.16904293
tmp.log:73:Motif:,130896,131364,203314,203783,468,7.058733083
tmp.log:74:Motif:,153773,155046,164220,165479,1259,29.2583848
tmp.log:75:Motif:,229078,230551,232830,234288,1458,22.92510888
tmp.log:76:Motif:,192145,193701,223977,225542,1556,33.27981727
tmp.log:77:Motif:,19610,19924,27359,27672,313,3.704989541
tmp.log:78:Motif:,120991,121349,135473,135830,357,8.169841143
tmp.log:79:Motif:,156571,157985,201629,203093,1414,45.15088742
tmp.log:80:Motif:,165663,167141,181989,183463,1474,25.03363176
tmp.log:81:Motif:,91810,92804,185228,186250,994,20.05506905
tmp.log:82:Motif:,30478,30813,165494,165811,317,11.85129299
tmp.log:83:Motif:,205451,205908,209568,210025,457,5.246195036
tmp.log:84:Motif:,165076,166056,239577,240512,935,39.61456079
